subject;phase;stimulus_identity;complete_data;mean_correct;sd_correct;training_performance
 95;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,950;0,2236068;Fail
 95;extinction;NA;complete;1,000;0,0000000;Fail
 96;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 96;extinction;NA;complete;1,000;0,0000000;Fail
 99;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
100;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,950;0,2236068;Fail
103;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
104;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
106;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
106;extinction;NA;complete;1,000;0,0000000;Fail
107;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,400;0,5026247;Fail
107;extinction;NA;complete;1,000;0,0000000;Fail
108;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
108;extinction;NA;complete;1,000;0,0000000;Fail
111;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,950;0,2236068;Fail
111;extinction;NA;complete;1,000;0,0000000;Fail
113;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
115;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
117;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,950;0,2236068;Fail
118;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
119;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
120;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,900;0,3077935;Fail
124;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
124;extinction;NA;complete;1,000;0,0000000;Fail
125;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,900;0,3077935;Fail
125;extinction;NA;complete;1,000;0,0000000;Fail
131;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
132;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,250;0,4442617;Fail
