subject;block_number;training_condition;mean_correct;sd_correct;training_performance;block_type
428; 7;Counterconditioning;1,000;0,0000000;Pass;Training
430; 8;Counterconditioning;0,350;0,4893605;Fail;Training
432; 7;Counterconditioning;1,000;0,0000000;Pass;Training
434; 8;Counterconditioning;0,900;0,3077935;Pass;Training
441; 8;Counterconditioning;0,950;0,2236068;Pass;Training
442; 7;Counterconditioning;0,950;0,2236068;Pass;Training
446; 7;Counterconditioning;1,000;0,0000000;Pass;Training
447; 7;Counterconditioning;1,000;0,0000000;Pass;Training
450;10;Counterconditioning;0,100;0,3077935;Fail;Training
451; 7;Counterconditioning;1,000;0,0000000;Pass;Training
457; 7;Counterconditioning;1,000;0,0000000;Pass;Training
