ID;IAT_D2;training_condition;IAT_order;Reverse_Scored_IAT_D2
187;-0,207510322;Extinction;Learning_Consistent_First;-0,207510322
188; 0,200091817;Acquisition_Only;Learning_Inconsistent_First;-0,200091817
189; 0,465681491;Acquisition_Only;Learning_Consistent_First; 0,465681491
190;-0,259222918;Acquisition_Only;Learning_Inconsistent_First; 0,259222918
195; 0,107468464;Acquisition_Only;Learning_Consistent_First; 0,107468464
195; 0,107468464;Counterconditioning;Learning_Consistent_First; 0,107468464
196; 0,052836592;Acquisition_Only;Learning_Inconsistent_First;-0,052836592
196; 0,052836592;Counterconditioning;Learning_Inconsistent_First;-0,052836592
197;-0,142532912;Acquisition_Only;Learning_Consistent_First;-0,142532912
197;-0,142532912;Extinction;Learning_Consistent_First;-0,142532912
  5; 0,080356172;Counterconditioning;Learning_Consistent_First; 0,080356172
  7; 0,431707003;Counterconditioning;Learning_Consistent_First; 0,431707003
 12; 0,416810670;Counterconditioning;Learning_Inconsistent_First;-0,416810670
 12; 0,416810670;Extinction;Learning_Inconsistent_First;-0,416810670
 16; 0,512133544;Counterconditioning;Learning_Inconsistent_First;-0,512133544
 20; 0,249916100;Counterconditioning;Learning_Inconsistent_First;-0,249916100
 20; 0,249916100;Extinction;Learning_Inconsistent_First;-0,249916100
 28; 0,683667872;Counterconditioning;Learning_Inconsistent_First;-0,683667872
 39; 0,379679780;Counterconditioning;Learning_Consistent_First; 0,379679780
 39; 0,379679780;Extinction;Learning_Consistent_First; 0,379679780
 43; 0,409383921;Counterconditioning;Learning_Consistent_First; 0,409383921
 43; 0,409383921;Extinction;Learning_Consistent_First; 0,409383921
 44; 0,152028872;Counterconditioning;Learning_Inconsistent_First;-0,152028872
 44; 0,152028872;Extinction;Learning_Inconsistent_First;-0,152028872
 45; 0,351038298;Counterconditioning;Learning_Consistent_First; 0,351038298
 49; 0,237734742;Counterconditioning;Learning_Consistent_First; 0,237734742
 49; 0,237734742;Extinction;Learning_Consistent_First; 0,237734742
 89;-0,299119229;Counterconditioning;Learning_Consistent_First;-0,299119229
 89;-0,299119229;Extinction;Learning_Consistent_First;-0,299119229
104; 0,374210641;Counterconditioning;Learning_Inconsistent_First;-0,374210641
115; 0,044438185;Counterconditioning;Learning_Consistent_First; 0,044438185
115; 0,044438185;Extinction;Learning_Consistent_First; 0,044438185
140; 0,189556518;Counterconditioning;Learning_Inconsistent_First;-0,189556518
148;-0,265050184;Counterconditioning;Learning_Inconsistent_First; 0,265050184
160; 0,083677100;Counterconditioning;Learning_Inconsistent_First;-0,083677100
166; 0,255965421;Counterconditioning;Learning_Inconsistent_First;-0,255965421
167; 1,017783272;Counterconditioning;Learning_Consistent_First; 1,017783272
170; 0,290114579;Counterconditioning;Learning_Inconsistent_First;-0,290114579
180;-0,053756169;Counterconditioning;Learning_Inconsistent_First; 0,053756169
180;-0,053756169;Extinction;Learning_Inconsistent_First; 0,053756169
191; 0,466160136;Counterconditioning;Learning_Consistent_First; 0,466160136
191; 0,466160136;Extinction;Learning_Consistent_First; 0,466160136
198;-0,010445776;Counterconditioning;Learning_Inconsistent_First; 0,010445776
204;-0,158471500;Counterconditioning;Learning_Inconsistent_First; 0,158471500
205;-0,304806594;Counterconditioning;Learning_Consistent_First;-0,304806594
208; 0,306402618;Counterconditioning;Learning_Inconsistent_First;-0,306402618
208; 0,306402618;Extinction;Learning_Inconsistent_First;-0,306402618
231; 0,577397520;Counterconditioning;Learning_Consistent_First; 0,577397520
237; 0,037104271;Counterconditioning;Learning_Consistent_First; 0,037104271
238;-0,188286475;Counterconditioning;Learning_Inconsistent_First; 0,188286475
239; 0,025625676;Counterconditioning;Learning_Consistent_First; 0,025625676
246; 0,273298787;Counterconditioning;Learning_Inconsistent_First;-0,273298787
248; 0,253139481;Counterconditioning;Learning_Inconsistent_First;-0,253139481
250;-0,211767618;Counterconditioning;Learning_Inconsistent_First; 0,211767618
254; 0,323066425;Counterconditioning;Learning_Inconsistent_First;-0,323066425
256; 0,691814138;Counterconditioning;Learning_Inconsistent_First;-0,691814138
261;-0,310347685;Counterconditioning;Learning_Consistent_First;-0,310347685
264; 0,448955963;Counterconditioning;Learning_Inconsistent_First;-0,448955963
270;-0,133907102;Counterconditioning;Learning_Inconsistent_First; 0,133907102
271; 0,042777759;Counterconditioning;Learning_Consistent_First; 0,042777759
280;-0,057667364;Counterconditioning;Learning_Inconsistent_First; 0,057667364
283; 0,221203169;Counterconditioning;Learning_Consistent_First; 0,221203169
285;-0,139289028;Counterconditioning;Learning_Consistent_First;-0,139289028
291; 1,171804636;Counterconditioning;Learning_Consistent_First; 1,171804636
311; 0,013521065;Counterconditioning;Learning_Consistent_First; 0,013521065
314; 0,678041878;Counterconditioning;Learning_Inconsistent_First;-0,678041878
316; 0,092303820;Counterconditioning;Learning_Inconsistent_First;-0,092303820
321; 0,188442180;Counterconditioning;Learning_Consistent_First; 0,188442180
326; 0,193359257;Counterconditioning;Learning_Inconsistent_First;-0,193359257
331;-0,240309439;Counterconditioning;Learning_Consistent_First;-0,240309439
332; 0,478708383;Counterconditioning;Learning_Inconsistent_First;-0,478708383
337; 0,761485835;Counterconditioning;Learning_Consistent_First; 0,761485835
339;-0,129000967;Counterconditioning;Learning_Consistent_First;-0,129000967
344;-0,137799348;Counterconditioning;Learning_Inconsistent_First; 0,137799348
349; 0,048910803;Counterconditioning;Learning_Consistent_First; 0,048910803
355; 0,431193430;Counterconditioning;Learning_Consistent_First; 0,431193430
361;-0,086496011;Counterconditioning;Learning_Consistent_First;-0,086496011
363; 0,084126202;Counterconditioning;Learning_Consistent_First; 0,084126202
364; 0,173170233;Counterconditioning;Learning_Inconsistent_First;-0,173170233
365; 0,117036784;Counterconditioning;Learning_Consistent_First; 0,117036784
371; 0,166404837;Counterconditioning;Learning_Consistent_First; 0,166404837
373; 0,733069582;Counterconditioning;Learning_Consistent_First; 0,733069582
377; 0,317298862;Counterconditioning;Learning_Consistent_First; 0,317298862
380; 0,289068652;Counterconditioning;Learning_Inconsistent_First;-0,289068652
