subject;training_condition;training_performance;stimulus_identity
174;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
177;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
177;Counterconditioning;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
178;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
178;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
179;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
179;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
180;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
180;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
181;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
182;Acquisition_Only;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
182;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
183;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
183;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
184;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
184;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
185;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
186;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
186;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
187;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
187;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
188;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
189;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
190;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
191;Counterconditioning;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
191;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
192;Acquisition_Only;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
192;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
194;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
195;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
195;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
196;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
196;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
197;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
197;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
198;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
199;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
201;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
204;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
205;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
205;Extinction;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
206;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
207;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
208;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
208;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
211;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
213;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
214;Extinction;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
215;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
217;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
218;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
219;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
