subject;block_number;training_condition;mean_correct;sd_correct;training_performance;block_type
117;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
118;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
119;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
122;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
122;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
124;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
125;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
126;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
127;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
128;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
130;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
131;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
132;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
132;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
133;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
133;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
134;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
134;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
135;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
137;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
137;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
138;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
139;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
140;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
141;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
143;4;Counterconditioning;0,95;0,2236068;Pass;Manipulation_Phase
143;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
145;9;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
146;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
147;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
148;4;Counterconditioning;0,85;0,3663475;Pass;Manipulation_Phase
